thucvat-species-51 | Rong Nhung Gepp | Codium geppiorum | O. C. Schmidt
thucvat-species-52 | Rong Nhung | Codium sp. | 
thucvat-species-77 | Rong Quạt bấc | Padina boryana | Thivy
thucvat-species-67 | Rong Võng | Dictyota spinulosa | Harvey
thucvat-species-63 | Rong Võng răng cưa | Dictyota dentata | Lamouroux
thucvat-species-61 | Rong Hải tu lóng ngắn | Asteronema breviarticulatum | (J. Agardh) Ouriques et Bouzon
thucvat-species-65 | Rong Võng bò | Dictyota friabilis | Setchell
thucvat-species-80 | Rong Lông bao rối | Chnoospora implexa | J. Agardh
thucvat-species-90 | Rong Lá mơ Mcclurei | Sargassum mcclurei | Setchell
thucvat-species-68 | Rong Võng | Dictyota sp.1 | 
thucvat-species-73 | Rong Thùy đài | Lobophora variegata | (Lamouroux) Womersley ex Oliveira [decumbent form]
thucvat-species-74 | Rong Thùy đài | Lobophora variegata | (Lamouroux) Womersley ex Oliveira [erect form]
thucvat-species-69 | Rong Võng | Dictyota sp.2 | 
thucvat-species-83 | Rong Mặt lưới | Hydroclathrus clathratus | (C. Agardh) Howe
thucvat-species-75 | Rong Thùy | Lobophora sp. | 
thucvat-species-85 | Rong Đỗ quyên đông | Rosenvingea orientalis | (J. Agardh) Børgesen
thucvat-species-10 | Rong Tóc đốt cần | Chaetomorpha antennina | (Bory) Kützing
thucvat-species-33 | Rong Câu lục có răng | Caulerpa serrulata var. serrulata f. lata | (Weber-van Bosse) Tseng
thucvat-species-9 | Rong Mạng lưới | Microdictyon japonicum | Setchell
thucvat-species-76 | Rong Quạt Úc | Padina australis | Hauck
thucvat-species-78 | Rong Quạt | Padina minor | Yamada
thucvat-species-13 | Rong Bôtlea ghép | Boodlea composita | (Harvey) Brand
thucvat-species-15 | Rong Trụ đèn | Struvea anastomosans | (Harvey) Piccone et Grunow
thucvat-species-25 | Rong Câu lục | Caulerpa cupressoides | (Vahl) C. Agardh
thucvat-species-30 | Rong Câu lục chùm | Caulerpa racemosa var. lamourouxii | (Turner) Weber-van Bosse
thucvat-species-81 | Rong Lông bao chổi | Chnoospora minima | (Hering) Papenfuss
thucvat-species-82 | Rong Bao tử | Colpomenia sinuosa | (Mertens ex Roth) Derbès et Solier
thucvat-species-34 | Rong Câu lục lông chim | Caulerpa sertularioides f. longipes | (J. Agardh) Collins
thucvat-species-35 | Rong Câu lục song đính | Caulerpa taxifolia | (Vahl) C. Agardh
thucvat-species-62 | Rong Võng gân rộng | Dictyopteris sp. | 
thucvat-species-66 | Rong Võng vạch | Dictyota linearis | (C. Agardh) Greville
thucvat-species-91 | Rong Mơ lá phao | Sargassum mcclurei f. duplicatum | Zinova et Nguyen
thucvat-species-99 | Rong Chùy diệp đẹp | Turbinaria ornata | (Turner) J. Agardh
thucvat-species-101 | Rong Mứt Việt | Porphyra vietnamensis | Tanaka et Pham
thucvat-species-106 | Rong Kim nhũ | Galaxaura sp. | 
thucvat-species-107 | chưa có tên Việt Nam | Tricleocarpa cylindrica | (Ellis et Solander) Huisman et Borowitzka
thucvat-species-28 | Rong Câu lục chùm | Caulerpa racemosa var. clavifera f. macrophysa | (Kützing) Weber-van Bosse
thucvat-species-31 | Rong Câu lục chùm | Caulerpa racemosa var. peltata | (Lamouroux) Eubank
thucvat-species-53 | Rong Lông chim | Bryopsis harveyana | J. Agardh
thucvat-species-60 | Rong Lọng | Acetabularia parvula | Solms-Laubach
thucvat-species-87 | Rong Lá mơ lá dày | Sargassum crassifolium | J. Agardh
